,Question,Answer,Model Guess,Label
0,enormously,tremendously,tremendously,correct
1,provisions,stipulations,provision,wrong
2,haphazardly,randomly,discounting,wrong
3,prominent,conspicuous,influential,wrong
4,zenith,pinnacle,lausanne,wrong
5,flawed,imperfect,imperfect,correct
6,urgently,desperately,desperately,correct
7,consumed,eaten,eaten,correct
8,advent,coming,calender,wrong
9,concisely,succinctly,succinctly,correct
10,salutes,greetings,saluting,wrong
11,solitary,alone,confinement,wrong
12,hasten,accelerate,minimise,wrong
13,perseverance,endurance,determination,wrong
14,fanciful,imaginative,fatuous,wrong
15,showed,demonstrated,took,wrong
16,constantly,continually,continuously,wrong
17,issues,subjects,issue,wrong
18,furnish,supply,furnishing,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,recognised,wrong
21,spot,location,place,wrong
22,make,earn,making,wrong
23,often,frequently,frequently,correct
24,easygoing,relaxed,tactless,wrong
25,debate,argument,debates,wrong
26,narrow,thin,minded,wrong
27,arranged,planned,arrange,wrong
28,infinite,limitless,shinee,wrong
29,showy,striking,ostentatious,wrong
30,levied,imposed,sanctioned,wrong
31,deftly,skillfully,deconstruct,wrong
32,distribute,circulate,distributing,wrong
33,discrepancies,differences,inconsistencies,wrong
34,prolific,productive,influential,wrong
35,unmatched,unequaled,unparalleled,wrong
36,peculiarly,uniquely,"['uniquely', 'partly', 'uniquely', 'patriotically', 'suspiciously']",guess
37,hue,color,hua,wrong
38,hind,rear,vande,wrong
39,highlight,accentuate,highlights,wrong
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,fabulously,wrong
42,grin,smile,smirk,wrong
43,verbally,orally,abusing,wrong
44,physician,doctor,practitioner,wrong
45,essentially,basically,basically,correct
46,keen,sharp,interested,wrong
47,situated,positioned,somwhere,wrong
48,principal,major,mayor,wrong
49,slowly,gradually,quickly,wrong
50,built,constructed,build,wrong
51,tasks,jobs,task,wrong
52,unlikely,improbable,likely,wrong
53,halfheartedly,apathetically,"['apathetically', 'customarily', 'bipartisanly', 'apathetically', 'unconventionally']",guess
54,annals,chronicles,chronology,wrong
55,wildly,furiously,crazily,wrong
56,hailed,acclaimed,lauded,wrong
57,command,mastery,force,wrong
58,concocted,devised,devised,correct
59,prospective,potential,clients,wrong
60,generally,broadly,usually,wrong
61,sustained,prolonged,injuries,wrong
62,perilous,dangerous,hellish,wrong
63,tranquillity,peacefulness,tranquility,wrong
64,dissipate,disperse,disintegrate,wrong
65,primarily,chiefly,solely,wrong
66,colloquial,conversational,vernacular,wrong
67,resolved,settled,solved,wrong
68,feasible,possible,doable,wrong
69,expeditiously,rapidly,lbvvvs,wrong
70,percentage,proportion,percentages,wrong
71,terminated,ended,terminating,wrong
72,uniform,alike,uniforms,wrong
73,figure,solve,figures,wrong
74,sufficient,enough,adequate,wrong
75,fashion,manner,style,wrong
76,marketed,sold,advertised,wrong
77,bigger,larger,larger,correct
78,roots,origins,reggae,wrong
79,normally,ordinarily,usually,wrong
